"","Family","Genus","Species","Common.Name","Origin","Lat...Long","latitude","longitude","Wild.caught.","Acclimation.Time..days.","Acclimation.Temperature..OC.","Acclimation.Salinity..psu.","PO2.Units","Acclimation.PO2","Acclimation.pH","Diet","Energy.Content","Ration.Unit","Ration.Size","Feeding.Regime","Photoperiod.Hours..L.D.","Sample.Size","Mean.Mass..g.","Mass.SD","Mass.SEM","Mass.Range.Upper..kg.","Mass.Range.Lower..kg.","Max.published.length..cm.","Calculated.mass..g.","percent.BM","Mean.Length..mm.","Length.SD","Length.SEM","Length.Range.Upper..mm.","Length.Range.Lower..mm.","Life.Stage","Expected.life.stage","Sex","Last.Feed..h.","RESPIROMETRY_TYPE","Swimming.Speed..body.lengths.s.1.","Hypoxia.Exposure.Method","Rate.of.Hypoxia.Onset..PO2.unit...min.1.","PO2.Setpoint.Time..mins.","Minimum.PO2","PO2.Unit","Salinity..psu.","Temp","pH","PCO2..uatm.","Access.to.Air","Oxy...conforming...regulating","Routine....Standard.MO2...RMR...SMR.","ORIGINAL_MR_VALUE","MO2.Range.Upper","MO2.Range.Lower","MO2.Units","MR.micro.mol.h","Critical_PO2","Critical.PO2.Range...Upper.Limit","Critical.PO2.Range...Lower.Limit","Critical.PO2.SD","Critical.PO2.SEM","Critical.PO2.Unit","Air.Breathing.Threshold","Pcrit..kPa.","Pcrit_SE","Pcrit.SD..kPa.","SMR..mgO2...kg..hr.","RMR..mgO2..kg..hr.","X100...Air.Sat...mmHg.","Statistical.Method","SMR.Determination.Method","Pcrit.Calculation.Method","mean.duration.of.Pcrit.trial..min.","Comments.and.Reference.Details","Reference","Year","Corresponding.Author","DOI","Full.Citation","X","C.Value","C.Value.method","Estimated_C.Value","Aspect.ratio.of.the.caudal.fin","animal","Salt","Taccl","logMass","Lat_abs","Calculatedpercent","logpercentcalc","logMR","residMR","relT","relT2","Salt_type_data","Conversion.factor.to.micro.mol.kg.h"
"98","Sparidae","Pagrus","auratus","Australasian snapper","Leigh, Northland, New Zealand","-36.317656, 174.759311",-36.317656," 174.759311","Yes","42",21,"Seawater","kPa","21",NA,"squid
and pilchard","-","-","-","-","-",NA,225,"-","-","300","150",130,20500,1.1,"-","-","-","-","-","Juvenile","Juvenile","-","-","unknown","-","Equilibration with  N2 ","-","-","4.5","kPa",30,21,"-","-","No","Oxyregulator","SMR","152.1","-","-","mg O2/ kg / h",1069.45,"6.93","-","-","0.61","-","kPa","-",6.93,"0.61","-","152.1","152.1","-","ANOVA and a Tukey’s post hoc","15% quantile method (Chabot and Claireaux, 2008; Cook et al., 2011; Dupont-Prinet et al., 2010)","Intersection of SMR line and < SMR line with forced Y intercept of 0","","Chronic hypoxia exposure (preconditioning) did not significantly affect Pcrit. ","Cook et al., ","2013","N.A. Herbert","10.1242/jeb.073023","Cook, D. G., Iftikar, F. I., Baker, D. W., Hickey, A. J. R., & Herbert, N. A. (2013). Low-O2 acclimation shifts the hypoxia avoidance behaviour of snapper (Pagrus auratus) with only subtle changes in aerobic and anaerobic function. Journal of Experimental Biology, 216(3), 369-378. ",NA,"0.67","FIA",0.67,"crescent","Pagrus_auratus",35,0,2.352182518,36.317656,1.097560976,0.040428657,3.029160485,0.056851484,1.696093143,0.517585988,"qualitative (Seawater)",0.03125
"99","Sparidae","Pagrus","auratus","Australasian snapper","Leigh, Northland, New Zealand","-36.317656, 174.759311",-36.317656," 174.759311","Yes","42",21,"Seawater","kPa","11",NA,"squid
and pilchard","-","-","-","-","-",NA,225,"-","-","300","150",130,20500,1.1,"-","-","-","-","-","Juvenile","Juvenile","-","-","unknown","-","Equilibration with  N2 ","-","-","4.5","kPa",30,21,"-","-","No","Oxyregulator","SMR","155.4","-","-","mg O2/ kg / h",1092.66,"7.01","-","-","0.55","-","kPa","-",7.01,"0.55","-","155.4","155.4","-","ANOVA and a Tukey’s post hoc","15% quantile method (Chabot and Claireaux, 2008; Cook et al., 2011; Dupont-Prinet et al., 2010)","Intersection of SMR line and < SMR line with forced Y intercept of 0 ","","Chronic hypoxia exposure (preconditioning) did not significantly affect Pcrit. ","Cook et al., ","2013","N.A. Herbert","10.1242/jeb.073023","Cook, D. G., Iftikar, F. I., Baker, D. W., Hickey, A. J. R., & Herbert, N. A. (2013). Low-O2 acclimation shifts the hypoxia avoidance behaviour of snapper (Pagrus auratus) with only subtle changes in aerobic and anaerobic function. Journal of Experimental Biology, 216(3), 369-378. ",NA,"0.67","FIA",0.67,"crescent","Pagrus_auratus",35,0,2.352182518,36.317656,1.097560976,0.040428657,3.038485045,0.066176044,1.696093143,0.517585988,"qualitative (Seawater)",0.03125
"100","Labridae","Tautogolabrus","adspersus","Cunner","Newfoundland, Canada","55.467602, -58.464119",55.467602," -58.464119","Yes","42",1,"Seawater","-","-",NA,"chopped herring (Clupea harengus)","-","-","-","Twice weekly","14:10",10,98,"-","0.0053","-","-",38,596.82,16.42,"-","-","-","-","-","-","Adult","-","40","Intermittent-Flow","-","Equilibration with  N2","0.25","40","10","% Air Sat.",30,1,"-","-","No","Oxyregulator","RMR","21.2","-","-","mg O2/ kg / h",64.93,"16.9","-","-","-","3.1","% Air Sat.","-",3.56,"0.653145442","-","","21.2","1.580.401.277","one-way repeated measures ANOVA, Dunnett's post-hoc","-","Intersection of two linear regressions ","","-","Corkum & Gamperl ","2009","A. K. Gamperl","10.1002/jez.520.","Corkum, C. P., & Gamperl, A. K. (2009). Does the ability to metabolically downregulate alter the hypoxia tolerance of fishes?: A comparative study using cunner (T. adspersus) and Greenland cod (G. ogac). Journal of Experimental Zoology Part A: Ecological Genetics and Physiology, 311(4), 231-239.  ",NA,"0.91","BFA",0.91,"round","Tautogolabrus_adspersus",35,0,1.991226076,55.467602,16.42036125,1.215382707,1.812445403,-0.323937005,-3.5,-13.99653553,"qualitative (Seawater)",0.03125
"101","Labridae","Tautogolabrus","adspersus","Cunner","Newfoundland, Canada","55.467602, -58.464119",55.467602," -58.464119","Yes","42",8,"Seawater","-","-",NA,"chopped herring (Clupea harengus)","-","-","-","Three times weekly","14:10",7,135.6,"-","0.0103","-","-",38,596.82,22.72,"-","-","-","-","-","-","Adult","-","40","Intermittent-Flow","-","Equilibration with  N2","0.25","40","10","% Air Sat.",30,8,"-","-","No","Oxyregulator","RMR","31.6","-","-","mg O2/ kg / h",133.91,"21.4","-","-","-","0.6","% Air Sat.","-",4.49,"0.125892736","-","","31.6","1.573.869.024","one-way repeated measures ANOVA, Dunnett's post-hoc","-","Intersection of two linear regressions ","","-","Corkum & Gamperl ","2009","A. K. Gamperl","10.1002/jez.520.","Corkum, C. P., & Gamperl, A. K. (2009). Does the ability to metabolically downregulate alter the hypoxia tolerance of fishes?: A comparative study using cunner (T. adspersus) and Greenland cod (G. ogac). Journal of Experimental Zoology Part A: Ecological Genetics and Physiology, 311(4), 231-239.  ",NA,"0.91","BFA",0.91,"round","Tautogolabrus_adspersus",35,0,2.13225969,55.467602,22.72041822,1.356416321,2.12681301,-0.323091725,3.5,-6.996535533,"qualitative (Seawater)",0.03125
"102","Gadidae","Gadus","ogac","Greenland cod","Newman Sound, Newfoundland,
Canada","48.588990, -53.804064",48.58899," -53.804064","Yes","42",1,"Seawater","-","-",NA,"chopped herring (Clupea harengus)","-","-","-","Twice weekly","14:10",8,50.9,"-","0.0067","-","-",119,23000,0.22,"-","-","-","-","-","-","Juvenile","-","40","Intermittent-Flow","-","Equilibration with  N2","0.25","40","10","% Air Sat.",30,1,"-","-","No","Oxyregulator","RMR","64","-","-","mg O2/ kg / h",101.8,"40.4","-","-","-","3.3","% Air Sat.","-",8.51,"0.695283857","-","","64","1.580.401.277","one-way repeated measures ANOVA, Dunnett's post-hoc","-","Intersection of two linear regressions ","","-","Corkum & Gamperl ","2009","A. K. Gamperl","10.1002/jez.520.","Corkum, C. P., & Gamperl, A. K. (2009). Does the ability to metabolically downregulate alter the hypoxia tolerance of fishes?: A comparative study using cunner (T. adspersus) and Greenland cod (G. ogac). Journal of Experimental Zoology Part A: Ecological Genetics and Physiology, 311(4), 231-239.  ",NA,NA,NA,0.64,"round","Gadus_macrocephalus",35,0,1.706717782,48.58899,0.221304348,-0.655010054,2.007747778,0.109550103,-4.222817412,-15.96704916,"qualitative (Seawater)",0.03125
"103","Gadidae","Gadus","ogac","Greenland cod","Newman Sound, Newfoundland, Cananda","48.588990, -53.804064",48.58899," -53.804064","Yes","42",8,"Seawater","-","-",NA,"chopped herring (Clupea harengus)","-","-","-","Three times weekly","14:10",9,74.3,"-","0.0086","-","-",119,23000,0.32,"-","-","-","-","-","-","Juvenile","-","40","Intermittent-Flow","-","Equilibration with  N2","0.25","40","10","% Air Sat.",30,8,"-","-","No","Oxyregulator","RMR","92.5","-","-","mg O2/ kg / h",214.77,"54.8","-","-","-","3.4","% Air Sat.","-",11.49,"0.713392172","-","","92.5","1.573.869.024","one-way repeated measures ANOVA, Dunnett's post-hoc","-","Intersection of two linear regressions ","","-","Corkum & Gamperl ","2009","A. K. Gamperl","10.1002/jez.520.","Corkum, C. P., & Gamperl, A. K. (2009). Does the ability to metabolically downregulate alter the hypoxia tolerance of fishes?: A comparative study using cunner (T. adspersus) and Greenland cod (G. ogac). Journal of Experimental Zoology Part A: Ecological Genetics and Physiology, 311(4), 231-239.  ",NA,NA,NA,0.64,"round","Gadus_macrocephalus",35,0,1.870988814,48.58899,0.323043478,-0.490739022,2.331973617,0.100799707,2.777182588,-8.967049159,"qualitative (Seawater)",0.03125
"104","Anguillidae","Anguilla","anguilla","European eel","Helsingør,
Denmark","56.041395, 12.611003",56.041395," 12.611003","Yes","-",25,"Freshwater","mmHg","120",NA,"-","-","-","-","None","-",17,116,"-","0.027","-","-",122,3700,3.14,"-","-","-","-","-","yellow phase","Adult","-","-","Intermittent-Flow","-","Equilibration with  N2 + CO2","0.5","60","10","mmHg",0.1,25,"-","1 mmHg","No","Oxyregulator","SMR","59.8","-","-","ml O2 / kg / h",216.78,"25","-","-","-","-","mmHg","-",3.32,"-","-","","","-","one-way ANOVA Student–Newman Keuls (SNK) post hoc","Average of six lowest MO2 values measured overnight","Method of Yeager
& Ultsch (1989)","","Acute hypercapnia results in an increased Pcrit","Cruz-Neto & Steffensen","1997","A.P. Cruz-Neto","10.1111/j.1095-8649.1997.tb01970.x","Cruz-Neto, A. P., & Steffensen, J. F. (1997). The effects of acute hypoxia and hypercapnia on oxygen consumption of the freshwater European eel. J Fish Biol, 50(4), 759-769. ",NA,"1.22","FCM",1.22,"round","Anguilla_anguilla",0.1,0,2.064457989,56.041395,3.135135135,0.496256265,2.336019212,-0.270763435,1.2666524,10.16783875,"quantatative",0.03125
"105","Anguillidae","Anguilla","anguilla","European eel","Helsingør,
Denmark","56.041395, 12.611003",56.041395," 12.611003","Yes","-",25,"Freshwater","mmHg","120",NA,"-","-","-","-","None","-",10,107,"-","0.019","-","-",122,3700,2.89,"-","-","-","-","-","yellow phase","Adult","-","-","Intermittent-Flow","-","Equilibration with  N2 + CO2","0.5","60","10","mmHg",0.1,25,"-","20 mmHg","No","Oxyregulator","SMR","62.8","-","-","ml O2 / kg / h",209.99,"43.1","-","-","-","10.9","mmHg","-",5.75,"1.453.139.581","-","","","-","one-way ANOVA Student–Newman Keuls (SNK) post hoc","Average of six lowest MO2 values measured overnight","Method of Yeager
& Ultsch (1989)","","Acute hypercapnia results in an increased Pcrit","Cruz-Neto & Steffensen","1997","A.P. Cruz-Neto","10.1111/j.1095-8649.1997.tb01970.x","Cruz-Neto, A. P., & Steffensen, J. F. (1997). The effects of acute hypoxia and hypercapnia on oxygen consumption of the freshwater European eel. J Fish Biol, 50(4), 759-769. ",NA,"1.22","FCM",1.22,"round","Anguilla_anguilla",0.1,0,2.029383778,56.041395,2.891891892,0.461182054,2.322198614,-0.255220595,1.2666524,10.16783875,"quantatative",0.03125
"106","Anguillidae","Anguilla","anguilla","European eel","Helsingør,
Denmark","56.041395, 12.611003",56.041395," 12.611003","Yes","-",25,"Freshwater","mmHg","120",NA,"-","-","-","-","None","-",7,122,"-","0.015","-","-",122,3700,3.3,"-","-","-","-","-","yellow phase","Adult","-","-","Intermittent-Flow","-","Equilibration with  N2 + CO2","0.5","60","10","mmHg",0.1,25,"-","30 mmHg","No","Oxyregulator","SMR","56.3","-","-","ml O2 / kg / h",214.64,"47.9","-","-","-","4.7","mmHg","-",6.39,"0.626583122","-","","","-","one-way ANOVA Student–Newman Keuls (SNK) post hoc","Average of six lowest MO2 values measured overnight","Method of Yeager
& Ultsch (1989)","","Acute hypercapnia results in an increased Pcrit","Cruz-Neto & Steffensen","1997","A.P. Cruz-Neto","10.1111/j.1095-8649.1997.tb01970.x","Cruz-Neto, A. P., & Steffensen, J. F. (1997). The effects of acute hypoxia and hypercapnia on oxygen consumption of the freshwater European eel. J Fish Biol, 50(4), 759-769. ",NA,"1.22","FCM",1.22,"round","Anguilla_anguilla",0.1,0,2.086359831,56.041395,3.297297297,0.518158107,2.33171066,-0.293407777,1.2666524,10.16783875,"quantatative",0.03125
"107","Cyprinidae","Spinibarbus","sinensis","Qingbo","Chongqing Normal University, China","29.557387, 106.456430",29.557387," 106.456430","No","30",25,"Freshwater","kPa","17.4",NA,"-","-","-","Satiation","Twice Daily","14:10",8,11.85,"-","0.0004","-","-",47.1,3200,0.37,"77.7","-","0.8","-","-","Juvenile","Juvenile","-","48","unknown","-","O2 consumption by fish","0.16","-","0.2","kPa",0.1,25,"-","-","No","Oxyregulator","RMR","217.2","-","-","mg O2 / kg / h",80.43,"4.45","-","-","-","0.17","kPa","-",4.45,"0.17","-","","217.2","-","one-way ANOVA","-","Method of Yeager
& Ultsch (1989)","","Acclimation to hypoxia and normoxia-hypoxia diel cycling reduces Pcrit","Dan et al., ","2014","S.J. Fu","10.1016/j.aquaculture.2014.02.025","Dan, X. M., Yan, G. J., Zhang, A. J., Cao, Z. D., & Fu, S. J. (2014). Effects of stable and diel-cycling hypoxia on hypoxia tolerance, postprandial metabolic response, and growth performance in juvenile qingbo (Spinibarbus sinensis). Aquaculture, 428-429, 21-28. sinensis). Aquaculture, 428-429, 21 - 28",NA,NA,NA,2.93,"crescent","Spinibarbus_sinensis",0.1,0,1.07371835,29.557387,0.3703125,-0.431431628,1.905418069,0.128063112,3.886386242,2.580974041,"quantatative",0.03125
"108","Cyprinidae","Spinibarbus","sinensis","Qingbo","Chongqing Normal University, China","29.557387, 106.456430",29.557387," 106.456430","No","30",25,"Freshwater","kPa","12.4",NA,"-","-","-","Satiation","Twice Daily","14:10",8,11.99,"-","0.0004","-","-",47.1,3200,0.37,"79.8","-","0.8","-","-","Juvenile","Juvenile","-","48","unknown","-","O2 consumption by fish","0.16","-","0.2","kPa",0.1,25,"-","-","No","Oxyregulator","RMR","154","-","-","mg O2 / kg / h",57.7,"3.86","-","-","-","0.22","kPa","-",3.86,"0.22","-","","154","-","one-way ANOVA","-","Method of Yeager
& Ultsch (1989)","","Acclimation to hypoxia and normoxia-hypoxia diel cycling reduces Pcrit","Dan et al., ","2014","S.J. Fu","10.1016/j.aquaculture.2014.02.025","Dan, X. M., Yan, G. J., Zhang, A. J., Cao, Z. D., & Fu, S. J. (2014). Effects of stable and diel-cycling hypoxia on hypoxia tolerance, postprandial metabolic response, and growth performance in juvenile qingbo (Spinibarbus sinensis). Aquaculture, 428-429, 21-28. sinensis). Aquaculture, 428-429, 21 - 28",NA,NA,NA,2.93,"crescent","Spinibarbus_sinensis",0.1,0,1.078819183,29.557387,0.3746875,-0.426330795,1.761175813,-0.02044946,3.886386242,2.580974041,"quantatative",0.03125
"109","Cyprinidae","Spinibarbus","sinensis","Qingbo","Chongqing Normal University, China","29.557387, 106.456430",29.557387," 106.456430","No","30",25,"Freshwater","kPa","17.4 - 7.4 Diel Cycling",NA,"-","-","-","Satiation","Twice Daily","14:10",8,13.6,"-","0.00047","-","-",47.1,3200,0.43,"81.9","-","0.9","-","-","Juvenile","Juvenile","-","48","unknown","-","O2 consumption by fish","0.16","-","0.2","kPa",0.1,25,"-","-","No","Oxyregulator","RMR","202","-","-","mg O2 / kg / h",85.85,"3.18","-","-","-","0.22","kPa","-",3.18,"0.22","-","","202","-","one-way ANOVA","-","Method of Yeager
& Ultsch (1989)","","Acclimation to hypoxia and normoxia-hypoxia diel cycling reduces Pcrit","Dan et al., ","2014","S.J. Fu","10.1016/j.aquaculture.2014.02.025","Dan, X. M., Yan, G. J., Zhang, A. J., Cao, Z. D., & Fu, S. J. (2014). Effects of stable and diel-cycling hypoxia on hypoxia tolerance, postprandial metabolic response, and growth performance in juvenile qingbo (Spinibarbus sinensis). Aquaculture, 428-429, 21-28. sinensis). Aquaculture, 428-429, 21 - 28",NA,NA,NA,NA,"crescent","Spinibarbus_sinensis",0.1,0,1.133538908,29.557387,0.425,-0.37161107,1.933740299,0.106304751,3.886386242,2.580974041,"quantatative",0.03125
"110","Cyprinidae","Cyprinus","carpio","Common carp","Agricultural University of Wageningen, The Netherlands","51.984513, 5.665641",51.984513," 5.665641","No","14",24,"Freshwater","-","-","7.7","-","-","-","Satiation","daily","14:10",8,25,"-","-","0.03","0.02",120,20600,0.12,"-","-","-","-","-","Juvenile","Juvenile","-","24","Closed","-","O2 consumption by fish","-","-","-","-",0.1,24,"-","-","No","Oxyregulator","RMR","8.67","-","-","umol / g / h",216.75,"35.74","-","-","-","-","uM","-",2.8,"-","-","","277.44","-","one-way ANOVA and LSD post-hoc","-","Method of Yeager
& Ultsch (1989)","","Long term exposure to brackish water increased Pcrit in Carp","Boeck et al., ","2000","G.D. Boeck","10.1006/jfbi.2000.1349","De Boeck, G., Vlaeminck, A., Van Der Linden, A., & Blust, R. (2000). Salt stress and resistance to hypoxic challenges in the common carp (Cyprinus carpio L.). J Fish Biol, 57(3), 761-776. ",NA,"1.92","FCM",1.92,"crescent","Cyprinus_carpio_carpio",0.1,0,1.397940009,51.984513,0.121359223,-0.915927212,2.335959106,0.31146207,6.082231176,8.005665153,"quantatative",1
"111","Cyprinidae","Cyprinus","carpio","Common carp","Agricultural University of Wageningen, The Netherlands","51.984513, 5.665642",51.984513," 5.665642","No","7",24,"Freshwater +171 mM NaCl","-","-","7.7","-","-","-","Satiation","daily","14:10",8,25,"-","-","0.03","0.02",120,20600,0.12,"-","-","-","-","-","Juvenile","Juvenile","-","24","Closed","-","O2 consumption by fish","-","-","-","-",0.1,24,"-","-","No","Oxyregulator","RMR","8.77","-","-","umol / g / h",219.25,"56.29","-","-","-","-","uM","-",4.41,"-","-","","280.64","-","one-way ANOVA and LSD post-hoc","-","Method of Yeager
& Ultsch (1989)","","Long term exposure to brackish water increased Pcrit in Carp","Boeck et al., ","2000","G.D. Boeck","10.1006/jfbi.2000.1349","De Boeck, G., Vlaeminck, A., Van Der Linden, A., & Blust, R. (2000). Salt stress and resistance to hypoxic challenges in the common carp (Cyprinus carpio L.). J Fish Biol, 57(3), 761-776. ",NA,"1.92","FCM",1.92,"crescent","Cyprinus_carpio_carpio",0.1,0,1.397940009,51.984513,0.121359223,-0.915927212,2.340939602,0.316442566,6.082231176,8.005665153,"quantatative",1
"112","Cyprinidae","Cyprinus","carpio","Common carp","Agricultural University of Wageningen, The Netherlands","51.984513, 5.665643",51.984513," 5.665643","No","30",24,"Freshwater +171 mM NaCl","-","-","7.7","-","-","-","Satiation","daily","14:10",8,25,"-","-","0.03","0.02",120,20600,0.12,"-","-","-","-","-","Juvenile","Juvenile","-","24","Closed","-","O2 consumption by fish","-","-","-","-",0.1,24,"-","-","No","Oxyregulator","RMR","11.01","-","-","umol / g / h",275.25,"118.26","-","-","-","-","uM","-",9.27,"-","-","","352.32","-","one-way ANOVA and LSD post-hoc","-","Method of Yeager
& Ultsch (1989)","","Long term exposure to brackish water increased Pcrit in Carp","Boeck et al., ","2000","G.D. Boeck","10.1006/jfbi.2000.1349","De Boeck, G., Vlaeminck, A., Van Der Linden, A., & Blust, R. (2000). Salt stress and resistance to hypoxic challenges in the common carp (Cyprinus carpio L.). J Fish Biol, 57(3), 761-776. ",NA,"1.92","FCM",1.92,"crescent","Cyprinus_carpio_carpio",0.1,0,1.397940009,51.984513,0.121359223,-0.915927212,2.439727328,0.415230292,6.082231176,8.005665153,"quantatative",1
"113","Cichlidae","Astronotus","ocellatus","Oscar","Sítio
135 dos Rodrigues (Km 35, Rod. AM-010, Brazil).","-23.493207, -46.680215",-23.493207," -46.680215","Yes","10",28,"Freshwater","-","-","6.5","commercial pellets (Nutripeixe Tr 36, Purina Co)","-","% body weight","1","daily","Natural",12,980,"-","0.003","-","-",45.7,4200,23.33,"-","-","-","-","-","Adult","Adult","-","24","Closed","-","O2 consumption by fish","0.79","-","5","% Air Sat.",0.1,28,"6.5","-","No","Oxyregulator","RMR","2.81","-","-","umol / g / h",2753.8,"53.8","-","-","-","8.3","Torr","-",7.17,"110.639","-","","89.92","-","two-way ANOVA  - uncorrected Fisher’s LSD post-hoc","-","BASIC program designed by Yeager and Ultsch (1989)","","Fasted Oscars had lower Pcrit than fed Oscars","Boeck et al., ","2013","G.D. Boeck"," 10.1242/?jeb.082891 ","De Boeck, G., Wood, C. M., Iftikar, F. I., Matey, V., Scott, G. R., Sloman, K. A., . . . Val, A. L. (2013). Interactions between hypoxia tolerance and food deprivation in Amazonian oscars, Astronotus ocellatus. Journal of Experimental Biology, 216(24), 4590-4600",NA,"1.09","FCM",1.09,"round","Astronotus_ocellatus",0.1,0,2.991226076,23.493207,23.33333333,1.367976785,3.439932396,-0.014623552,1.439775301,3.843770471,"quantatative",1
"114","Cichlidae","Astronotus","ocellatus","Oscar","Sítio
135 dos Rodrigues (Km 35, Rod. AM-010, Brazil).","-23.493207, -46.680215",-23.493207," -46.680215","Yes","10",28,"Freshwater","-","-","6.5","-","-","-","Starved","-","Natural",11,980,"-","0.003","-","-",45.7,4200,23.33,"-","-","-","-","-","Adult","Adult","-","240","Closed","-","O2 consumption by fish","0.79","-","5","% Air Sat.",0.1,28,"6.5","-","No","Oxyregulator","RMR","4.09","-","-","umol / g / h",4008.2,"33.6","-","-","-","3.7","Torr","-",4.47,"0.49321","-","","130.88","-","two-way ANOVA  - uncorrected Fisher’s LSD post-hoc","-","BASIC program designed by Yeager and Ultsch (1989)","","Fasted Oscars had lower Pcrit than fed Oscars","Boeck et al., ","2013","G.D. Boeck"," 10.1242/?jeb.082891 ","De Boeck, G., Wood, C. M., Iftikar, F. I., Matey, V., Scott, G. R., Sloman, K. A., . . . Val, A. L. (2013). Interactions between hypoxia tolerance and food deprivation in Amazonian oscars, Astronotus ocellatus. Journal of Experimental Biology, 216(24), 4590-4600",NA,"1.09","FCM",1.09,"round","Astronotus_ocellatus",0.1,0,2.991226076,23.493207,23.33333333,1.367976785,3.602949384,0.148393437,1.439775301,3.843770471,"quantatative",1
"115","Cyprinidae","Carassius","auratus","Goldfish","Chongqing, China","29.558795, 106.576706",29.558795," 106.576706","Yes","2",12,"Freshwater","mg / L","10",NA,"-","-","-","Satiation","daily","-",7,4.88,"-","0.00016","-","-",48,2000,0.24,"54.4","-","1.1","-","-","Juvenile","Juvenile","-","48","Closed","-","O2 consumption by fish","-","-","1","% Air Sat.",0.1,12,"-","-","No","Oxyregulator","RMR","145.7","-","-","mg O2/ kg / h",22.22,"22.97","-","-","-","3.01","Torr","-",3.06,"0.401233","-","","145.7","-","two-way ANOVA","-","Method of Yeager
& Ultsch (1989)","","Control","Fu et al., ","2011","S.J. Fu","10.1242/jeb.053132","Fu, S. J., Brauner, C. J., Cao, Z. D., Richards, J. G., Peng, J. L., Dhillon, R., & Wang, Y. X. (2011). The effect of acclimation to hypoxia and sustained exercise on subsequent hypoxia tolerance and swimming performance in goldfish (Carassius auratus). Journal of Experimental Biology, 214(12), 2080-2088. ",NA,"1.89","FCM",1.89,"crescent","Carassius_auratus_auratus",0.1,0,0.688419822,29.558795,0.244,-0.612610174,1.346744055,0.221017655,-4.564565884,-10.41862261,"quantatative",0.03125
"116","Cyprinidae","Carassius","auratus","Goldfish","Chongqing, China","29.558795, 106.576706",29.558795," 106.576706","Yes","2",12,"Freshwater","mg / L","0.3",NA,"-","-","-","Satiation","daily","-",7,5.1,"-","0.0002","-","-",48,2000,0.26,"54.7","-","1","-","-","Juvenile","Juvenile","-","48","Closed","-","O2 consumption by fish","-","-","1","% Air Sat.",0.1,12,"-","-","No","Oxyregulator","RMR","120.4","-","-","mg O2/ kg / h",19.19,"11.63","-","-","-","0.86","Torr","-",1.55,"0.114638","-","","120.4","-","two-way ANOVA","-","Method of Yeager
& Ultsch (1989)","","Hypoxia acclimation resulted in 49% reduction in Pcrit associated with 71 % increase in lamellar surface area.","Fu et al., ","2011","S.J. Fu","10.1242/jeb.053132","Fu, S. J., Brauner, C. J., Cao, Z. D., Richards, J. G., Peng, J. L., Dhillon, R., & Wang, Y. X. (2011). The effect of acclimation to hypoxia and sustained exercise on subsequent hypoxia tolerance and swimming performance in goldfish (Carassius auratus). Journal of Experimental Biology, 214(12), 2080-2088. ",NA,"1.89","FCM",1.89,"crescent","Carassius_auratus_auratus",0.1,0,0.707570176,29.558795,0.255,-0.59345982,1.283074975,0.141316277,-4.564565884,-10.41862261,"quantatative",0.03125
"117","Cyprinidae","Carassius","auratus","Goldfish","Chongqing, China","29.558795, 106.576706",29.558795," 106.576706","Yes","2",12,"Freshwater","mg / L","10",NA,"-","-","-","Satiation","daily","-",6,4.83,"-","0.00014","-","-",48,2000,0.24,"54.2","-","0.8","-","-","Juvenile","Juvenile","-","48","Closed","-","O2 consumption by fish","-","-","1","% Air Sat.",0.1,12,"-","-","No","Oxyregulator","RMR","101.5","-","-","mg O2/ kg / h",15.32,"14.08","-","-","-","1.58","Torr","-",1.88,"0.210614","-","","101.5","-","two-way ANOVA","-","Method of Yeager
& Ultsch (1989)","","Acclimated to sustained exercise 21 cm /s (~70 % of Ucrit) - resulted in 39 % reduction in Pcrit associated with 43 % increase in lamellar surface area.","Fu et al., ","2011","S.J. Fu","10.1242/jeb.053132","Fu, S. J., Brauner, C. J., Cao, Z. D., Richards, J. G., Peng, J. L., Dhillon, R., & Wang, Y. X. (2011). The effect of acclimation to hypoxia and sustained exercise on subsequent hypoxia tolerance and swimming performance in goldfish (Carassius auratus). Journal of Experimental Biology, 214(12), 2080-2088. ",NA,"1.89","FCM",1.89,"crescent","Carassius_auratus_auratus",0.1,0,0.683947131,29.558795,0.2415,-0.617082865,1.185258765,0.063276815,-4.564565884,-10.41862261,"quantatative",0.03125
"118","Cyprinidae","Schizothorax","prenanti","Mountain carp","Chongqing, China","29.526537, 106.527954",29.558795," 106.527954","Yes","14",15,"Freshwater","mg / L","10",NA,"commercial
forage","-","-","Satiation","daily","12:12",15,8.72,"-","0.00035","-","-",33.5,591.39,1.47,"84.9","-","1.3","-","-","Juvenile","Juvenile","-","48","Closed","-","O2 consumption by fish","1.04","-","1","% Air Sat.",0.1,15,"-","-","No","Oxyregulator","RMR","63.99","-","-","mg O2/ kg / h",17.44,"1.61","-","-","-","0.16","mg O2 /L","-",3.32,"0.329557158","-","","63.99","-","One-way ANCOVA ","-","Method of Yeager
& Ultsch (1989)","","Fish from rapid flow habitats exhibit lower Pcrit","Fu et al., ","2014","S.J. Fu","10.1242/jeb.089268","Fu, S. J., Fu, C., Yan, G. J., Cao, Z. D., Zhang, A. J., & Pang, X. (2014). Interspecific variation in hypoxia tolerance, swimming performance and plasticity in cyprinids that prefer different habitats. Journal of Experimental Biology, 217(4), 590-597. ",NA,NA,NA,2.93,"crescent","Schizothorax_prenanti",0.1,0,0.940516485,29.558795,1.474492298,0.168642508,1.241546481,-0.173804905,1.8e-14,-7.41862261,"quantatative",0.03125
