"","X.3","X.2","X.1","Family","Genus","Species","Common.Name","Origin","Lat...Long","latitude","longitude","Wild.caught.","Acclimation.Time..days.","Acclimation.Temperature..OC.","Acclimation.Salinity..psu.","PO2.Units","Acclimation.PO2","Acclimation.pH","Diet","Energy.Content","Ration.Unit","Ration.Size","Feeding.Regime","Photoperiod.Hours..L.D.","Sample.Size","Mean.Mass..g.","Mass.SD","Mass.SEM","Mass.Range.Upper..kg.","Mass.Range.Lower..kg.","Max.published.length..cm.","Calculated.mass..g.","percent.BM","Mean.Length..mm.","Length.SD","Length.SEM","Length.Range.Upper..mm.","Length.Range.Lower..mm.","Life.Stage","Expected.life.stage","Sex","Last.Feed..h.","RESPIROMETRY_TYPE","Swimming.Speed..body.lengths.s.1.","Hypoxia.Exposure.Method","Rate.of.Hypoxia.Onset..PO2.unit...min.1.","PO2.Setpoint.Time..mins.","Minimum.PO2","PO2.Unit","Salinity..psu.","Temp","pH","PCO2..uatm.","Access.to.Air","Oxy...conforming...regulating","Routine....Standard.MO2...RMR...SMR.","ORIGINAL_MR_VALUE","MO2.Range.Upper","MO2.Range.Lower","MO2.Units","omrekenfactor.naar.micro.mol.kg.h","MR.µM.h","Critical_PO2","Critical.PO2.Range...Upper.Limit","Critical.PO2.Range...Lower.Limit","Critical.PO2.SD","Critical.PO2.SEM","Critical.PO2.Unit","Air.Breathing.Threshold","Pcrit..kPa.","Pcrit_SE","Pcrit.SD..kPa.","SMR..mgO2...kg..hr.","RMR..mgO2..kg..hr.","X100...Air.Sat...mmHg.","Statistical.Method","SMR.Determination.Method","Pcrit.Calculation.Method","mean.duration.of.Pcrit.trial..min.","Comments.and.Reference.Details","Reference","Year","Corresponding.Author","DOI","Full.Citation","X","C.Value","C.Value.method","Estimated_C.Value","Aspect.ratio.of.the.caudal.fin","animal","Salt","Taccl","logMass","Lat_abs","Calculatedpercent","logpercentcalc","logMR","residMR","relT","relT2","Salt_type_data"
"58",58,58,58,"Cichlidae","Astronotus","ocellatus","Oscar","Sítio dos Rodrigues, Brazil","-2.928786, -59.233434",-2.928786,"-59,233434","Yes","-",28,"Freshwater","-","-",NA,"-","-","-","-","-","-",13,230,"-","0.011","-","-","45,7",4200,5.48,"-","-","-","-","-","-","Adult","-","12","Closed","-","O2 consumption by fish","0.58","-","10","mmHg",0.1,28,"-","-","No","Oxyregulator","RMR","2075.01","-","-","umol /kg/ hr","1",477.25,"50","-","-","-","-","mmHg","-",6.66,"-","-","","6.640.032","-","ANOVA: posthoc Tukey and Student’s t-test","-","First PO2 stepoint at which MO2 significantly less than at normoxia","","Larger oscars have lower Pcrit than small oscars.","Sloman et al., ","2006","K.A. Sloman","10.1242/jeb.02090","Sloman, K. A., Wood, C. M., Scott, G. R., Wood, S., Kajimura, M., Johannsson, O. E., . . . Val, A. L. (2006). Tribute to R. G. Boutilier: the effect of size on the physiological and behavioural responses of oscar, Astronotus ocellatus, to hypoxia. J Exp B",NA,"1.09","FCM",1.09,"round","Astronotus_ocellatus",0.1,0,2.36172783601759,2.928786,5.47619047619048,0.738478545619692,2.6787459370657,-0.248806496294313,-0.719887650602646,-2.0473121772806,"quantatative"
"59",59,59,59,"Cichlidae","Astronotus","ocellatus","Oscar","Sítio dos Rodrigues, Brazil","-2.928786, -59.233434",-2.928786,"-59,233434","Yes","-",28,"Freshwater","-","-",NA,"-","-","-","-","-","-",15,16.2,"-","0.0019","-","-","45,7",4200,0.39,"-","-","-","-","-","-","Juvenile","-","12","Closed","-","O2 consumption by fish","0.58","-","10","mmHg",0.1,28,"-","-","No","Oxyregulator","RMR","4924.5","-","-","umol /kg/ hr","1",79.78,"70","-","-","-","-","mmHg","-",9.33,"-","-","","157.584","-","ANOVA: posthoc Tukey and Student’s t-test","-","First PO2 stepoint at which MO2 significantly less than at normoxia","","Larger oscars have lower Pcrit than small oscars.","Sloman et al., ","2006","K.A. Sloman","10.1242/jeb.02090","Sloman, K. A., Wood, C. M., Scott, G. R., Wood, S., Kajimura, M., Johannsson, O. E., . . . Val, A. L. (2006). Tribute to R. G. Boutilier: the effect of size on the physiological and behavioural responses of oscar, Astronotus ocellatus, to hypoxia. J Exp B",NA,"1.09","FCM",1.09,"round","Astronotus_ocellatus",0.1,0,1.20951501454263,2.928786,0.385714285714286,-0.41373427585527,1.90189403197382,-0.0610485465507776,-0.719887650602488,-2.0473121772806,"quantatative"
"60",60,60,60,"Cichlidae","Astronotus","ocellatus","Oscar","Sítio dos Rodrigues, Brazil","-2.928786, -59.233434",-2.928786,"-59,233434","Yes","-",29,"Freshwater","-","-",NA,"-","-","-","-","-","-",8,230,"-","0.011","-","-","45,7",4200,5.48,"-","-","-","-","-","-","Adult","-","13","unknown","-","Equilibration with with N2","1","-","10","mmHg",0.1,28,"-","-","Yes","-","-",NA,"-","-","-","",NA,"-","-","-","-","-","mmHg","49.6",NA,"-","-","-","","-","ANOVA: posthoc Tukey and Student’s t-test","-","-","","Larger oscars had a higher air breathing threshold than small oscars. Small oscars first surfaced at PO2 well below Pcrit.","Sloman et al., ","2006","K.A. Sloman","10.1242/jeb.02090","Sloman, K. A., Wood, C. M., Scott, G. R., Wood, S., Kajimura, M., Johannsson, O. E., . . . Val, A. L. (2006). Tribute to R. G. Boutilier: the effect of size on the physiological and behavioural responses of oscar, Astronotus ocellatus, to hypoxia. J Exp B",NA,"1.09","FCM",1.09,"round","Astronotus_ocellatus",0.1,1,2.36172783601759,2.928786,5.47619047619048,0.738478545619692,NA,0,-0.719887650602634,-2.0473121772806,"quantatative"
"61",61,61,61,"Cichlidae","Astronotus","ocellatus","Oscar","Sítio dos Rodrigues, Brazil","-2.928786, -59.233434",-2.928786,"-59,233434","Yes","-",30,"Freshwater","-","-",NA,"-","-","-","-","-","-",8,16.2,"-","0.0019","-","-","45,7",4200,0.39,"-","-","-","-","-","-","Juvenile","-","14","unknown","-","Equilibration with with N2","1","-","10","mmHg",0.1,28,"-","-","Yes","-","-",NA,"-","-","-","",NA,"-","-","-","-","-","mmHg","22.3",NA,"-","-","-","","-","ANOVA: posthoc Tukey and Student’s t-test","-","-","","Larger oscars had a higher air breathing threshold than small oscars. Small oscars first surfaced at PO2 well below Pcrit.","Sloman et al., ","2006","K.A. Sloman","10.1242/jeb.02090","Sloman, K. A., Wood, C. M., Scott, G. R., Wood, S., Kajimura, M., Johannsson, O. E., . . . Val, A. L. (2006). Tribute to R. G. Boutilier: the effect of size on the physiological and behavioural responses of oscar, Astronotus ocellatus, to hypoxia. J Exp B",NA,"1.09","FCM",1.09,"round","Astronotus_ocellatus",0.1,2,1.20951501454263,2.928786,0.385714285714286,-0.41373427585527,NA,0,-0.719887650602694,-2.0473121772806,"quantatative"
"62",62,62,62,"Gadidae","Gadus","ogac","Greenland cod","Godhavn, Greenland","69.237103, -53.525490",69.237103,"-53,52549","Yes","5",5.5,"33","-","-",NA,"None","-","-","-","-","Natural",5,183,"-","-","223","143","119",23000,0.8,"-","-","-","-","-","-","Juvenile","-","120","unknown","-","O2 consumption by fish","-","-","20","mmHg",33,4.5,"-","-","No","Oxyregulator","SMR","64.8","-","-","mg O2 / kg / h","31,25",370.575,"55","60","50","-","-","mmHg","-",7.33,"-","-","64.8","","-","Students -tailed unpaired T-test.","Calculated from frequency histogram, fit  two normal curves. Take tall narrow peak as SMR.","Point at which MO2 falls and stays below calculated SMR","","-","Steffensen et al.","1994","-"," 10.1007/BF00240272","Steffensen, J. F., Bushnell, P. G., & Schurmann, H. (1994). Oxygen consumption in four species of teleosts from Greenland: no evidence of metabolic cold adaptation. Polar Biology, 14(1), 49-54.",NA,NA,NA,0.64,"round","Gadus_macrocephalus",33,1,2.26245108973043,69.237103,0.795652173913043,-0.0992767462871634,2.56887611728112,0.119238926348383,1.44563482307098,-6.55199129195965,"quantatative"
"63",63,63,63,"Gobiesocidae","Gobiesox","strumosus","Skilletfish","St Joseph’s Bay, Gulf County, FL, USA","29.775540, -85.335224",29.77554,"-85,335224","Yes","14",12,"30","-","-",NA,"-","-","-","-","daily","-",3,61.5,"-","-","-","-","8",7.06,NA,"-","-","-","-","-","-","","-","24","unknown","-","O2 consumption by fish","-","-","-","-",30,12,"-","-","No","Oxyconformer","RMR","0.08","-","-","mg O2 / g / h","31250",153.75,"-","-","-","-","-","-","-",NA,"-","-","-","80","-","one-way ANOVA, Tukey's MRT","-","Linear regression","","-","Tiffany et al. ","2010","L. A. Enzor","10.1111/j.1095-8649.2009.02511.x","Tiffany, B. N., Enzor, L. A., & Bennett, W. A. (2010). Responses of skilletfish Gobiesox strumosus to high temperature and low oxygen stress. J Fish Biol, 76(3), 556-563.",NA,NA,NA,NA,"round","Gobiesox_strumosus",30,0,1.78887511577542,29.77554,100,2,2.18681512444745,-0.0510710429291255,-10.0000000000001,-10.3565317438204,"quantatative"
"64",64,64,64,"Gobiesocidae","Gobiesox","strumosus","Skilletfish","St Joseph’s Bay, Gulf County, FL, USA","29.775540, -85.335224",29.77554,"-85,335224","Yes","14",22,"30","-","-",NA,"-","-","-","-","daily","-",3,61.5,"-","-","-","-","8",7.06,NA,"-","-","-","-","-","-","","-","24","unknown","-","O2 consumption by fish","-","-","-","-",30,22,"-","-","No","Oxyconformer","RMR","0.26","-","-","mg O2 / g / h","31250",499.69,"-","-","-","-","-","-","-",NA,"-","-","-","260","-","one-way ANOVA, Tukey's MRT","-","Linear regression","","-","Tiffany et al. ","2010","L. A. Enzor","10.1111/j.1095-8649.2009.02511.x","Tiffany, B. N., Enzor, L. A., & Bennett, W. A. (2010). Responses of skilletfish Gobiesox strumosus to high temperature and low oxygen stress. J Fish Biol, 76(3), 556-563.",NA,NA,NA,NA,"round","Gobiesox_strumosus",30,0,1.78887511577542,29.77554,100,2,2.69870065825132,0.205113996687197,2.27179386413923e-14,-0.356531743820437,"quantatative"
"65",65,65,65,"Gobiesocidae","Gobiesox","strumosus","Skilletfish","St Joseph’s Bay, Gulf County, FL, USA","29.775540, -85.335224",29.77554,"-85,335224","Yes","14",32,"30","-","-",NA,"-","-","-","-","daily","-",3,61.5,"-","-","-","-","8",7.06,NA,"-","-","-","-","-","-","","-","24","unknown","-","O2 consumption by fish","-","-","-","-",30,32,"-","-","No","Oxyconformer","RMR","0.26","-","-","mg O2 / g / h","31250",499.69,"-","-","-","-","-","-","-",NA,"-","-","-","260","-","one-way ANOVA, Tukey's MRT","-","Linear regression","","-","Tiffany et al. ","2010","L. A. Enzor","10.1111/j.1095-8649.2009.02511.x","Tiffany, B. N., Enzor, L. A., & Bennett, W. A. (2010). Responses of skilletfish Gobiesox strumosus to high temperature and low oxygen stress. J Fish Biol, 76(3), 556-563.",NA,NA,NA,NA,"round","Gobiesox_strumosus",30,0,1.78887511577542,29.77554,100,2,2.69870065825132,-0.0338192519798521,9.99999999999988,9.64346825617957,"quantatative"
"66",66,66,66,"Percidae","Etheostoma","rufilineatum","Redline darter","Cypress Creek, Tennessee River, Lauderdale County, Alabama, USA","33.157248, -87.496211",33.157248,"-87,496211","Yes","14",20,"Freshwater","-","-",NA,"None","-","-","-","-","-",15,4.3,"-","-","-","-","8,4",5.64,76.24,"-","-","-","-","-","-","Adult","-","-","Closed","-","O2 consumption by fish","-","-","10","mmHg",0.1,20,"7.6","-","No","Oxyregulator","RMR","78","-","-","ul O2 / g / h","44,64285714",14.97,"105","-","-","-","-","mmHg","-",13.99,"-","-","","","-","-","-","First 20 mmHg interval in which >75% of fell below RMR (midrange of 20 mmHg interval taken as Pcrit) ","","-","Ultsch et al.","1978","-","10.2307/1936635","Ultsch, G. R., Boschung, H., & Ross, M. J. (1978). Metabolism, Critical Oxygen Tension, and Habitat Selection in Darters (Etheostoma). Ecology, 59(1), 99-107.",NA,NA,NA,1.07,"round","Etheostoma_rufilineatum",0.1,0,0.633468455579587,33.157248,76.2411347517731,1.88218935159624,1.17522180034305,-0.110457110539319,7.2025718722557e-15,-1.38777501002403,"quantatative"
"67",67,67,67,"Percidae","Etheostoma","flabellare","Fantail darter","Cypress Creek, Tennessee River, Lauderdale County, Alabama, USA","33.157248, -87.496211",33.157248,"-87,496211","Yes","14",20,"Freshwater","-","-",NA,"None","-","-","-","-","-",9,1.1,"-","-","-","-","8,4",4.39136612825193,82.71,"-","-","-","-","-","-","Adult","-","-","Closed","-","O2 consumption by fish","-","-","10","mmHg",0.1,20,"7.6","-","No","Oxyregulator","RMR","82","-","-","ul O2 / g / h","44,64285714",4.03,"30","-","-","-","-","mmHg","-",3.99,"-","-","","","-","-","-","First 20 mmHg interval in which >75% of fell below RMR (midrange of 20 mmHg interval taken as Pcrit) ","","-","Ultsch et al.","1978","-","10.2307/1936635","Ultsch, G. R., Boschung, H., & Ross, M. J. (1978). Metabolism, Critical Oxygen Tension, and Habitat Selection in Darters (Etheostoma). Ecology, 59(1), 99-107.",NA,NA,NA,1.07,"round","Etheostoma_flabellare",0.1,0,0.0413926851582251,33.157248,25.0491525387312,1.39879303742967,0.605305046141109,-0.18469970427964,5.00000000000001,-1.38777501002403,"quantatative"
"68",68,68,68,"Percidae","Etheostoma","flabellare","Fantail darter","Cypress Creek, Tennessee River, Lauderdale County, Alabama, USA","33.157248, -87.496211",33.157248,"-87,496211","Yes","14",10,"Freshwater","-","-",NA,"None","-","-","-","-","-",8,1.4,"-","-","-","-","8,4",4.39136612825193,105.26,"-","-","-","-","-","-","Adult","-","-","Closed","-","O2 consumption by fish","-","-","10","mmHg",0.1,10,"7.6","-","No","Oxyregulator","RMR","29","-","-","ul O2 / g / h","44,64285714",1.81,"60","-","-","-","-","mmHg","-",7.99,"-","-","","","-","-","-","First 20 mmHg interval in which >75% of fell below RMR (midrange of 20 mmHg interval taken as Pcrit) ","","-","Ultsch et al.","1978","-","10.2307/1936635","Ultsch, G. R., Boschung, H., & Ross, M. J. (1978). Metabolism, Critical Oxygen Tension, and Habitat Selection in Darters (Etheostoma). Ecology, 59(1), 99-107.",NA,NA,NA,1.07,"round","Etheostoma_flabellare",0.1,0,0.146128035678238,33.157248,31.8807395947488,1.50352838794969,0.257678574869184,-0.3607432502022,-4.99999999999995,-11.387775010024,"quantatative"
"69",69,69,69,"Percidae","Etheostoma","duryi","Black darter","Cypress Creek, Tennessee River, Lauderdale County, Alabama, USA","33.157248, -87.496211",33.157248,"-87,496211","Yes","14",20,"Freshwater","-","-",NA,"None","-","-","-","-","-",10,2,"-","-","-","-","7,2",3.74,53.48,"-","-","-","-","-","-","Adult","-","-","Closed","-","O2 consumption by fish","-","-","10","mmHg",0.1,20,"7.6","-","No","Oxyregulator","RMR","92","-","-","ul O2 / g / h","44,64285714",8.21,"35","-","-","-","-","mmHg","-",4.67,"-","-","","","-","-","-","First 20 mmHg interval in which >75% of fell below RMR (midrange of 20 mmHg interval taken as Pcrit) ","","-","Ultsch et al.","1978","-","10.2307/1936635","Ultsch, G. R., Boschung, H., & Ross, M. J. (1978). Metabolism, Critical Oxygen Tension, and Habitat Selection in Darters (Etheostoma). Ecology, 59(1), 99-107.",NA,NA,NA,1.07,"round","Etheostoma_duryi",0.1,0,0.301029995663981,33.157248,53.475935828877,1.7281583934635,0.914343157119441,-0.0930248301347731,5.00000000000014,-1.38777501002403,"quantatative"
"70",70,70,70,"Percidae","Etheostoma","duryi","Black darter","Cypress Creek, Tennessee River, Lauderdale County, Alabama, USA","33.157248, -87.496211",33.157248,"-87,496211","Yes","14",10,"Freshwater","-","-",NA,"None","-","-","-","-","-",9,1.7,"-","-","-","-","7,2",3.74,45.45,"-","-","-","-","-","-","Adult","-","-","Closed","-","O2 consumption by fish","-","-","10","mmHg",0.1,10,"7.6","-","No","Oxyregulator","RMR","41","-","-","ul O2 / g / h","44,64285714",3.11,"60","-","-","-","-","mmHg","-",7.99,"-","-","","","-","-","-","First 20 mmHg interval in which >75% of fell below RMR (midrange of 20 mmHg interval taken as Pcrit) ","","-","Ultsch et al.","1978","-","10.2307/1936635","Ultsch, G. R., Boschung, H., & Ross, M. J. (1978). Metabolism, Critical Oxygen Tension, and Habitat Selection in Darters (Etheostoma). Ecology, 59(1), 99-107.",NA,NA,NA,1.07,"round","Etheostoma_duryi",0.1,0,0.230448921378274,33.157248,45.4545454545455,1.65757731917779,0.492760389026837,-0.196253218915515,-5.00000000000013,-11.387775010024,"quantatative"
"71",71,71,71,"Percidae","Etheostoma","squamiceps","Spottail darter","Cypress Creek, Tennessee River, Lauderdale County, Alabama, USA","33.157248, -87.496211",33.157248,"-87,496211","Yes","14",20,"Freshwater","-","-",NA,"None","-","-","-","-","-",10,1.4,"-","-","-","-","8,8",5.64,24.82,"-","-","-","-","-","-","Adult","-","-","Closed","-","O2 consumption by fish","-","-","10","mmHg",0.1,20,"7.6","-","No","Oxyregulator","RMR","99","-","-","ul O2 / g / h","44,64285714",6.19,"40","-","-","-","-","mmHg","-",5.33,"-","-","","","-","-","-","First 20 mmHg interval in which >75% of fell below RMR (midrange of 20 mmHg interval taken as Pcrit) ","","-","Ultsch et al.","1978","-","10.2307/1936635","Ultsch, G. R., Boschung, H., & Ross, M. J. (1978). Metabolism, Critical Oxygen Tension, and Habitat Selection in Darters (Etheostoma). Ecology, 59(1), 99-107.",NA,NA,NA,1.07,"crescent","Etheostoma_squamiceps",0.1,0,0.146128035678238,33.157248,24.822695035461,1.3948489316949,0.791690649020118,-0.0859964716869805,4.99999999999991,-1.38777501002403,"quantatative"
"72",72,72,72,"Percidae","Etheostoma","squamiceps","Spottail darter","Cypress Creek, Tennessee River, Lauderdale County, Alabama, USA","33.157248, -87.496211",33.157248,"-87,496211","Yes","14",10,"Freshwater","-","-",NA,"None","-","-","-","-","-",8,1.7,"-","-","-","-","8,8",5.64,30.14,"-","-","-","-","-","-","Adult","-","-","Closed","-","O2 consumption by fish","-","-","10","mmHg",0.1,10,"7.6","-","No","Oxyregulator","RMR","36","-","-","ul O2 / g / h","44,64285714",2.73,"25","-","-","-","-","mmHg","-",3.32,"-","-","","","-","-","-","First 20 mmHg interval in which >75% of fell below RMR (midrange of 20 mmHg interval taken as Pcrit) ","","-","Ultsch et al.","1978","-","10.2307/1936635","Ultsch, G. R., Boschung, H., & Ross, M. J. (1978). Metabolism, Critical Oxygen Tension, and Habitat Selection in Darters (Etheostoma). Ecology, 59(1), 99-107.",NA,NA,NA,1.07,"crescent","Etheostoma_squamiceps",0.1,0,0.230448921378274,33.157248,30.1418439716312,1.47916981739493,0.436162647040756,-0.252850960901596,-4.99999999999999,-11.387775010024,"quantatative"
"73",73,73,73,"Percidae","Etheostoma","boschungi","Slackwater darter","Cypress Creek, Tennessee River, Lauderdale County, Alabama, USA","33.157248, -87.496211",33.157248,"-87,496211","Yes","14",20,"Freshwater","-","-",NA,"None","-","-","-","-","-",12,1.1,"-","-","-","-","8,8",5.64,19.5,"-","-","-","-","-","-","Adult","-","-","Closed","-","O2 consumption by fish","-","-","10","mmHg",0.1,20,"7.6","-","No","Oxyregulator","RMR","109","-","-","ul O2 / g / h","44,64285714",5.35,"30","-","-","-","-","mmHg","-",3.99,"-","-","","","-","-","-","First 20 mmHg interval in which >75% of fell below RMR (midrange of 20 mmHg interval taken as Pcrit) ","","-","Ultsch et al.","1978","-","10.2307/1936635","Ultsch, G. R., Boschung, H., & Ross, M. J. (1978). Metabolism, Critical Oxygen Tension, and Habitat Selection in Darters (Etheostoma). Ecology, 59(1), 99-107.",NA,NA,NA,1.07,"crescent","Etheostoma_boschungi",0.1,0,0.0413926851582251,33.157248,19.5035460992908,1.29011358117488,0.728353782021228,-0.0616509683995213,5,-1.38777501002403,"quantatative"
"74",74,74,74,"Percidae","Etheostoma","boschungi","Slackwater darter","Cypress Creek, Tennessee River, Lauderdale County, Alabama, USA","33.157248, -87.496211",33.157248,"-87,496211","Yes","14",10,"Freshwater","-","-",NA,"None","-","-","-","-","-",9,1.2,"-","-","-","-","8,8",5.64,21.28,"-","-","-","-","-","-","Adult","-","-","Closed","-","O2 consumption by fish","-","-","10","mmHg",0.1,10,"7.6","-","No","Oxyregulator","RMR","35","-","-","ul O2 / g / h","44,64285714",1.88,"70","-","-","-","-","mmHg","-",9.33,"-","-","","","-","-","-","First 20 mmHg interval in which >75% of fell below RMR (midrange of 20 mmHg interval taken as Pcrit) ","","-","Ultsch et al.","1978","-","10.2307/1936635","Ultsch, G. R., Boschung, H., & Ross, M. J. (1978). Metabolism, Critical Oxygen Tension, and Habitat Selection in Darters (Etheostoma). Ecology, 59(1), 99-107.",NA,NA,NA,1.07,"crescent","Etheostoma_boschungi",0.1,0,0.0791812460476248,33.157248,21.2765957446809,1.32790214206428,0.27415784926368,-0.288217443584069,-5.00000000000007,-11.387775010024,"quantatative"
"75",75,75,75,"Percidae","Etheostoma","fusiforme","Swamp darter","Red Creek, George County, Mississippi, USA","30.696023, -88.668083",30.696023,"-88,668083","Yes","14",20,"Freshwater","-","-",NA,"None","-","-","-","-","-",5,0.24,"-","-","-","-","5,9",1.33,18.05,"-","-","-","-","-","-","Adult","-","-","Closed","-","O2 consumption by fish","-","-","10","mmHg",0.1,20,"7.6","-","No","Oxyregulator","RMR","111","-","-","ul O2 / g / h","44,64285714",1.19,"50","-","-","-","-","mmHg","-",6.67,"-","-","","","-","-","-","First 20 mmHg interval in which >75% of fell below RMR (midrange of 20 mmHg interval taken as Pcrit) ","","-","Ultsch et al.","1978","-","10.2307/1936635","Ultsch, G. R., Boschung, H., & Ross, M. J. (1978). Metabolism, Critical Oxygen Tension, and Habitat Selection in Darters (Etheostoma). Ecology, 59(1), 99-107.",NA,NA,NA,1.07,"round","Etheostoma_fusiforme",0.1,0,-0.619788758288394,30.696023,18.0451127819549,1.25635960074452,0.0755469613925307,-0.160929721733773,5.00000000000001,-2.0928412937298,"quantatative"
"76",76,76,76,"Percidae","Etheostoma","fusiforme","Swamp darter","Red Creek, George County, Mississippi, USA","30.696023, -88.668083",30.696023,"-88,668083","Yes","14",10,"Freshwater","-","-",NA,"None","-","-","-","-","-",13,0.6,"-","-","-","-","5,9",1.33,45.11,"-","-","-","-","-","-","Adult","-","-","Closed","-","O2 consumption by fish","-","-","10","mmHg",0.1,10,"7.6","-","No","Oxyregulator","RMR","47","-","-","ul O2 / g / h","44,64285714",1.26,"55","-","-","-","-","mmHg","-",7.33,"-","-","","","-","-","-","First 20 mmHg interval in which >75% of fell below RMR (midrange of 20 mmHg interval taken as Pcrit) ","","-","Ultsch et al.","1978","-","10.2307/1936635","Ultsch, G. R., Boschung, H., & Ross, M. J. (1978). Metabolism, Critical Oxygen Tension, and Habitat Selection in Darters (Etheostoma). Ecology, 59(1), 99-107.",NA,NA,NA,1.07,"round","Etheostoma_fusiforme",0.1,0,-0.221848749616356,30.696023,45.1127819548872,1.65429960941656,0.100370545117563,-0.20998837106218,-5.00000000000002,-12.0928412937298,"quantatative"
"77",77,77,77,"Batrachoididae","Opsanus","tau","Toadfish","Woods Hole, Massachusetts, USA","41.523395, -70.676488",41.523395,"-70,676488","Yes","2",22,"34","-","-",NA,"-","-","-","-","-","-",6,361,"0.0488","0.0199","-","-","43,2",1000,36.1,"-","-","-","-","-","-","Adult","-","-","unknown","-","Equilibration with with N2","-","-","5","mmHg",34,22,"-","-","No","Oxyregulator","SMR","26.03","-","-","ul O2 / g / h","44,64285714",419.5,"29.3","-","-","8.6","3.5","mmHg","-",3.76,"0.466604453","-","","","-","-","""Averaging the SMR's from high Po2 down to the last Po2 before
the first SMR that was lower than all previous ones.""","Fit of two lines of least square regression and calculation of intercept.","","Toadfish are oxyregulators, not, as previously reported, oxyconformers  (Hall, 1929)","Ultsch et al.","1981","-","10.1007/BF00688973","Ultsch, G., Jackson, D., & Moalli, R. (1981). Metabolic oxygen conformity among lower vertebrates: The toadfish revisited. Journal of comparative physiology, 142(4), 439-443.",NA,"2.8","BFA",2.8,"round","Opsanus_tau",34,0,2.55750720190566,41.523395,36.1,1.55750720190566,2.62273196516472,-0.539874148444134,-1.73333569719603e-14,3.00887225880599,"quantatative"
"78",78,78,78,"Galaxiidae","Galaxias","maculatus","Inanga","Canterbury, New Zealand","-43.635906, 171.857130",-43.635906,"171,85713","Yes","30",14,"Freshwater","-","-",NA,"Commercial
flake food (Nutrafin®Max, USA)","-","-","Satiation","twice daily","12:12",67,2.3,"-","-","0.0045","0.0001","19",64.88,3.55,"-","-","-","-","-","Adult","Adult","-","12","Closed","-","O2 consumption by fish","0.069","-","4.5","kPa",0.1,14,"-","-","No","Oxyconformer","RMR","10.19","-","-","umol O2 / g /h","1000",23.44,"-","-","-","-","-","-","-",NA,"-","-","-","326.08","-","-","-","-","","Inanga air breath when given acces to air (Urbina et al., 2011)","Urbina et al.,  ","2012","M.A. Urbina","10.1016/j.cbpa.2011.11.011","Urbina, M. A., Glover, C. N., & Forster, M. E. (2012). A novel oxyconforming response in the freshwater fish Galaxias maculatus. Comp Biochem Physiol A Mol Integr Physiol, 161(3), 301-306.",NA,"1.04","FIA",1.04,"crescent","Galaxias_maculatus",0.1,0,0.361727836017593,43.635906,3.54500616522811,0.549616994814493,1.36995760734605,0.465165690209086,2.66731081666194e-14,-4.3859574377648,"quantatative"
"79",79,79,79,"Nototheniidae","Trematomus","centronotus ","-","Scott Base, McMurdo Sound, Antarctica ","-77.893491, 166.696887",-77.893491,"166,696887","Yes","10",-1.5,"Seawater","-","-",NA,"Small amphipods and chopped fish","-","-","-","-","24",25,183.3,"-","0.0274","-","-","24",185.15,99,"-","-","-","-","-","-","Adult","-","240","Closed","-","O2 consumption by fish","-","-","25","mmHg",30,-1.5,"-","-","No","Oxyconformer","RMR","43.2","-","-","mg O2 / kg /hr","31,25",247.46,"-","-","-","-","-","-","-",NA,"-","-","-","43.2","-","-","-","-","","-","Wells","1987","R.M.G Wells","-","Wells, R. M. (1987). Respiration of antarctic fish from McMurdo Sound. Comp Biochem Physiol A Comp Physiol, 88(3), 417-424. ",NA,"1.19","FIA",1.19,"round","Trematomus_centronotus",35,0,2.26316246496222,77.893491,99.0008101539292,1.99563874857676,2.39350500858996,0.101709524509917,2.26207941267376e-14,-10.0721987831581,"qualitative (Seawater)"
"80",80,80,80,"Nototheniidae","Pagothenia","borchgrevinki "," bald notothen","Scott Base, McMurdo Sound, Antarctica ","-77.893491, 166.696887",-77.893491,"166,696887","Yes","10",-1.5,"Seawater","-","-",NA,"small amphipods and chopped fish","-","-","-","-","24",27,108.3,"-","0.0081","-","-","28",321.65,33.67,"-","-","-","-","-","-","Adult","-","240","Closed","-","O2 consumption by fish","-","-","25","mmHg",30,-1.5,"-","-","No","Oxyregulator","RMR","48.4","-","-","mg O2 / kg /hr","31,25",163.8,"66","-","-","-","-","mmHg","-",8.46,"-","-","-","48.4","-","-","-","-","","-","Wells","1987","R.M.G Wells","-","Wells, R. M. (1987). Respiration of antarctic fish from McMurdo Sound. Comp Biochem Physiol A Comp Physiol, 88(3), 417-424. ",NA,NA,NA,1.34,"round","Pagothenia_borchgrevinki",35,0,2.03462845662532,77.893491,33.6701383491373,1.52724490088893,2.2143138974244,0.11384257889618,1.39610545346613e-14,-10.0721987831581,"qualitative (Seawater)"
